"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000001687",-0.347417819344772,8.70173738057642e-07,"Ubl3","significant"
"ENSMUSG00000001700",-0.0604236084847313,0.716588258380366,"Gramd2b","non-significant"
"ENSMUSG00000001707",0.109551981768142,0.440242732718478,"Eef1e1","non-significant"
"ENSMUSG00000001729",-0.0624778875353316,0.672282105014684,"Akt1","non-significant"
"ENSMUSG00000001739",-0.301447043710766,0.333241801617513,"Cldn15","non-significant"
"ENSMUSG00000001741",0.172439239565324,0.499764197153665,"Il16","non-significant"
"ENSMUSG00000001750",0.540476402260132,2.23024570561509e-05,"Tcirg1","significant"
"ENSMUSG00000001751",-0.175105765925444,0.385605277289872,"Naglu","non-significant"
"ENSMUSG00000001755",0.16907896574924,0.277388925843554,"Coasy","non-significant"
"ENSMUSG00000001761",0.669136374709211,0.000341540011590236,"Smo","significant"
"ENSMUSG00000001763",0.0138764292859059,0.963113541825636,"Tspan33","non-significant"
"ENSMUSG00000001767",0.173819546475575,0.117920692258752,"Crnkl1","non-significant"
"ENSMUSG00000001768",0.322076277761362,0.0536403673805865,"Rin2","non-significant"
"ENSMUSG00000001773",-0.0252906251349484,0.99125114353739,"Folh1","non-significant"
"ENSMUSG00000001774",-0.0482933865372206,0.688716407613254,"Chordc1","non-significant"
"ENSMUSG00000001783",0.0564890448802875,0.426828160447936,"Rtcb","non-significant"
"ENSMUSG00000001785",-0.0232728680033222,0.846303019497159,"Pwp1","non-significant"
"ENSMUSG00000001786",-0.101670102615927,0.520419628730941,"Fbxo7","non-significant"
"ENSMUSG00000001794",0.468993980291122,1.83895715834521e-11,"Capns1","significant"
"ENSMUSG00000001802",0.120782707397408,0.427042676919601,"Lrp3","non-significant"
"ENSMUSG00000001827",2.37574693307137,0.00605131595778439,"Folr1","significant"
"ENSMUSG00000001829",-0.316584591438457,8.48891006071598e-06,"Clpb","significant"
"ENSMUSG00000001833",0.202942216453032,0.000197706486166925,"Septin7","significant"
"ENSMUSG00000001844",-0.121121755509101,0.29477872494898,"Zdhhc4","non-significant"
"ENSMUSG00000001847",-0.261634005391314,6.13674272980031e-07,"Rac1","significant"
"ENSMUSG00000001855",-0.217325892716267,0.00615039577199333,"Nup214","significant"
"ENSMUSG00000001864",1.00378536586464,4.38509830054661e-07,"Aif1l","significant"
"ENSMUSG00000001865",0.289030581927336,0.673416374179559,"Cpa3","non-significant"
"ENSMUSG00000001870",0.0297398338195016,0.911871515940191,"Ltbp1","non-significant"
"ENSMUSG00000001891",-0.268918724922869,0.0360383214840335,"Ugp2","significant"
"ENSMUSG00000001909",-0.143532544192892,0.0766566542826261,"Trmt1","non-significant"
"ENSMUSG00000001910",0.0390003294371648,0.709715016273185,"Nacc1","non-significant"
"ENSMUSG00000001911",-0.226722485374618,5.15699323717212e-05,"Nfix","significant"
"ENSMUSG00000001918",0.225186043463846,0.305037149998498,"Slc1a5","non-significant"
"ENSMUSG00000001924",-0.0731974185499396,0.207879002815678,"Uba1","non-significant"
"ENSMUSG00000001930",0.183008422483938,0.396212031342923,"Vwf","non-significant"
"ENSMUSG00000001942",-0.422331475865913,0.00462206789060572,"Siae","significant"
"ENSMUSG00000001943",-0.18437278802165,0.607630731980186,"Vsig2","non-significant"
"ENSMUSG00000001946",-0.263192906417992,0.122329327006103,"Esam","non-significant"
"ENSMUSG00000001948",0.158025092916336,0.593422725671536,"Spa17","non-significant"
"ENSMUSG00000001962",-0.108549354737182,0.309944874437041,"Fam50a","non-significant"
"ENSMUSG00000001964",-0.0234224095462822,0.909813037477486,"Emd","non-significant"
"ENSMUSG00000001983",-0.27001866468423,0.0102295236371396,"Taco1","significant"
"ENSMUSG00000001985",0.156190022302775,0.887772385254187,"Grik3","non-significant"
"ENSMUSG00000001986",-0.0566290155735242,0.908830164137752,"Gria3","non-significant"
"ENSMUSG00000001995",0.105135661574157,0.752001289198728,"Sipa1l2","non-significant"
"ENSMUSG00000001998",-0.203848086744869,0.0639883366387335,"Ap4e1","non-significant"
"ENSMUSG00000001999",-0.189839616252,0.221897977792722,"Blvra","non-significant"
"ENSMUSG00000002006",0.135094695191651,0.779685689499197,"Pdzd4","non-significant"
"ENSMUSG00000002007",0.0741945782432429,0.497513504414433,"Srpk3","non-significant"
"ENSMUSG00000002010",-0.244933311675208,0.00355106078663306,"Idh3g","significant"
"ENSMUSG00000002012",-0.60062618431421,0.0111799859508695,"Pnck","significant"
"ENSMUSG00000002014",0.141988475150761,0.0971575809121349,"Ssr4","non-significant"
"ENSMUSG00000002015",0.499562034912813,1.79025258346256e-14,"Bcap31","significant"
"ENSMUSG00000002017",0.13342479884505,0.0447448010309767,"Fam98a","significant"
