Gene,log2FC_disease,log2FC_treated,log2FC_treated_vs_WT,padj_disease,padj_treated,rescue_metric,rescue_status_fixed,GeneSymbol
ENSMUSG00000003949,-0.717998887,-0.742286536,-1.460285423,0.038607632,0.381423607,-103.3826862,Worsened,Hlf
ENSMUSG00000004098,0.879845131,0.420440673,1.300285804,0.00295392,0.702448494,-47.78575894,Worsened,Col5a3
ENSMUSG00000004187,-0.642280347,0.237953914,-0.404326433,5.06564644000412e-07,0.590389775,37.04829438,Partially rescued,Kifc2
ENSMUSG00000004266,1.823911181,-0.163630472,1.660280709,1.05362069430176e-08,0.940009817,8.971405734,Not rescued,Ptpn6
ENSMUSG00000004267,0.668125865,-0.78455438,-0.116428515,0.040276155,0.292551826,117.426135,Rescued,Eno2
ENSMUSG00000004317,0.953945396,-0.050580698,0.903364698,0.000108645,0.977672732,5.302263471,Not rescued,Clcn5
ENSMUSG00000004415,1.085739367,-0.412768947,0.67297042,0.005584716,0.801549518,38.01731421,Partially rescued,Col26a1
ENSMUSG00000004446,1.744750391,-0.130025757,1.614724634,6.39534120334912e-08,0.947276141,7.452398772,Not rescued,Bid
ENSMUSG00000004460,0.511137054,-0.114103805,0.397033249,6.51570052770585e-16,0.620638954,22.32352445,Not rescued,Dnajb11
ENSMUSG00000004609,0.915838347,0.140177698,1.056016044,0.011454305,0.959040064,-15.30594328,Worsened,Cd33
ENSMUSG00000004730,2.016414117,-0.068347641,1.948066476,5.81971882638042e-10,0.977834786,3.389563709,Not rescued,Adgre1
ENSMUSG00000004814,1.246703173,-0.092364908,1.154338264,0.018080659,0.978038625,7.408732915,Not rescued,Ccl24
ENSMUSG00000004891,1.464520771,-0.198358128,1.266162643,2.21293293222734e-35,0.672217494,13.54423453,Not rescued,Nes
ENSMUSG00000004933,0.830271822,0.091234146,0.921505968,0.021658981,0.971509096,-10.98846715,Worsened,Matk
ENSMUSG00000004939,-1.46817693,-0.434252269,-1.902429198,0.00041533,0.833982738,-29.57765241,Worsened,Nmrk2
ENSMUSG00000005054,0.90634881,-0.380200573,0.526148237,8.4551962098893e-08,0.408221843,41.948593,Partially rescued,Cstb
ENSMUSG00000005057,0.916128752,0.010681916,0.926810668,1.41259149296269e-06,0.992537217,-1.165984091,Worsened,Sh2b2
ENSMUSG00000005087,1.830589079,-0.383657794,1.446931285,6.61695968965888e-34,0.354043486,20.95816033,Not rescued,Cd44
ENSMUSG00000005148,1.669796247,-0.157024286,1.512771961,3.38287945691298e-17,0.888488038,9.403799184,Not rescued,Klf5
ENSMUSG00000005338,0.532980724,0.133519247,0.666499971,0.004318641,0.891600287,-25.05142145,Worsened,Cadm3
ENSMUSG00000005410,1.13882807,-0.452488002,0.686340069,5.93370966925913e-05,0.629092479,39.7327756,Partially rescued,Mcm5
ENSMUSG00000005413,1.142054903,-0.886913725,0.255141178,8.22269831316409e-09,0.008924897,77.65946476,Partially rescued,Hmox1
ENSMUSG00000005474,-1.00233734,0.345065355,-0.657271985,0.002456395,0.827361071,34.42607011,Partially rescued,Myl10
ENSMUSG00000005534,-0.513926986,0.158347004,-0.355579982,2.88033696223811e-08,0.635961016,30.81118679,Partially rescued,Insr
ENSMUSG00000005580,-0.820199907,0.106085568,-0.714114339,9.76810593598846e-09,0.903860848,12.93411121,Not rescued,Adcy9
ENSMUSG00000005667,2.365919718,-0.369364112,1.996555606,2.4558789554243e-56,0.363608343,15.61186161,Not rescued,Mthfd2
ENSMUSG00000005686,0.774465473,-0.269677433,0.50478804,7.12002343191271e-06,0.672234922,34.82110465,Partially rescued,Ampd3
ENSMUSG00000005958,0.888997268,0.012370186,0.901367455,0.021473334,0.994179627,-1.391476319,Worsened,Ephb3
ENSMUSG00000005973,0.885674973,-0.110147822,0.775527151,2.97480397605511e-18,0.828924739,12.43659638,Not rescued,Rcn1
ENSMUSG00000005983,0.675695574,-0.255923716,0.419771858,0.007574497,0.81406278,37.87559452,Partially rescued,1700037C18Rik
ENSMUSG00000006014,0.962371699,-1.204285772,-0.241914073,0.000305762,0.004757446,125.1372804,Over-corrected,Prg4
ENSMUSG00000006205,-1.012691335,-0.112128537,-1.124819872,1.62794560105755e-07,0.931431416,-11.07233107,Worsened,Htra1
