Gene,log2FC_disease,log2FC_treated,log2FC_treated_vs_WT,padj_disease,padj_treated,rescue_metric,rescue_status_fixed,GeneSymbol
ENSMUSG00000002409,-0.824073649,0.169855594,-0.654218055,7.91957794790257e-08,1,20.61170073,Not rescued,Dyrk1b
ENSMUSG00000002458,0.705423903,0.062072591,0.767496494,0.000115852,1,-8.799332036,Worsened,Rgs19
ENSMUSG00000002489,-0.662176199,-0.028714797,-0.690890996,0.000527558,1,-4.336428425,Worsened,Tiam1
ENSMUSG00000002603,0.595469853,-0.03713917,0.558330684,6.74594790193872e-05,1,6.23695212,Not rescued,Tgfb1
ENSMUSG00000002617,0.576211693,-0.140619619,0.435592074,0.023201053,1,24.4041592,Not rescued,Zfp40
ENSMUSG00000002699,1.173724952,0.295673301,1.469398253,0.000804737,1,-25.19102113,Worsened,Lcp2
ENSMUSG00000002732,1.067756783,0.019572859,1.087329643,1.37906339175648e-11,1,-1.833082193,Worsened,Fkbp7
ENSMUSG00000002769,1.083950799,-0.714949242,0.369001558,0.007982502,1,65.9577208,Partially rescued,Gnmt
ENSMUSG00000002771,1.1172944,-0.321421987,0.795872412,0.018070855,1,28.76788674,Not rescued,Grin2d
ENSMUSG00000002831,-0.821585324,0.07550549,-0.746079834,0.037338299,1,9.190218928,Not rescued,Plin4
ENSMUSG00000002845,0.671747402,-0.056228794,0.615518608,2.15881582395945e-13,1,8.370526496,Not rescued,Tmem39a
ENSMUSG00000002985,0.896100629,-0.132536727,0.763563902,1.07934414639532e-06,1,14.79038434,Not rescued,Apoe
ENSMUSG00000003070,1.568995939,-0.300064977,1.268930961,2.58853680405398e-05,1,19.12464973,Not rescued,Efna2
ENSMUSG00000003123,-0.576713785,0.274113413,-0.302600372,7.84375056805644e-05,1,47.53023427,Partially rescued,Lipe
ENSMUSG00000003153,-1.959078976,0.079640387,-1.87943859,4.3227869099746e-14,1,4.06519532,Not rescued,Slc2a3
ENSMUSG00000003199,-0.560676747,-0.020196251,-0.580872998,0.000186372,1,-3.602120382,Worsened,Mpnd
ENSMUSG00000003206,1.263692214,-0.249019483,1.014672732,0.016070235,1,19.7057068,Not rescued,Ebi3
ENSMUSG00000003227,2.123289689,-0.463220758,1.660068931,0.009164678,1,21.81618272,Not rescued,Edar
