"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000001870",0.211368187738949,0.759445838762887,"Ltbp1","non-significant"
"ENSMUSG00000001891",-0.0794656348618939,0.91099006898321,"Ugp2","non-significant"
"ENSMUSG00000001909",-0.0919038911115403,0.777533560142367,"Trmt1","non-significant"
"ENSMUSG00000001910",0.0129319784668178,0.982344807081486,"Nacc1","non-significant"
"ENSMUSG00000001911",-0.0497697911024817,0.872438306818569,"Nfix","non-significant"
"ENSMUSG00000001918",-0.307958210293058,0.614813335698347,"Slc1a5","non-significant"
"ENSMUSG00000001924",-0.0454836144710334,0.870614459984629,"Uba1","non-significant"
"ENSMUSG00000001930",0.0620081951637292,0.964389961119476,"Vwf","non-significant"
"ENSMUSG00000001942",0.0811194412321296,0.932664402321836,"Siae","non-significant"
"ENSMUSG00000001943",-0.0119240051056595,0.993999261807722,"Vsig2","non-significant"
"ENSMUSG00000001946",0.235327706511146,0.659196093513576,"Esam","non-significant"
"ENSMUSG00000001948",0.185013104215662,0.872438306818569,"Spa17","non-significant"
"ENSMUSG00000001962",-0.0143044664415244,0.983422480588659,"Fam50a","non-significant"
"ENSMUSG00000001964",-0.0125258931577167,0.989944319013175,"Emd","non-significant"
"ENSMUSG00000001983",-0.0226980702741971,0.977430930012133,"Taco1","non-significant"
"ENSMUSG00000001986",-0.00844273832936859,0.99636031486552,"Gria3","non-significant"
"ENSMUSG00000001995",0.175082019378302,0.890516338031715,"Sipa1l2","non-significant"
"ENSMUSG00000001998",0.0243198351000869,0.977430930012133,"Ap4e1","non-significant"
"ENSMUSG00000001999",0.025818206194755,0.979488601344178,"Blvra","non-significant"
"ENSMUSG00000002006",0.223459114667987,0.904574045491432,"Pdzd4","non-significant"
"ENSMUSG00000002007",-0.142283640124336,0.625307041170966,"Srpk3","non-significant"
"ENSMUSG00000002010",-0.0184406699247417,0.977430930012133,"Idh3g","non-significant"
"ENSMUSG00000002012",-0.126690813200103,0.936680703412815,"Pnck","non-significant"
"ENSMUSG00000002014",-0.283973679610416,0.040208114450744,"Ssr4","significant"
"ENSMUSG00000002015",-0.070300368878862,0.844694272473535,"Bcap31","non-significant"
"ENSMUSG00000002017",-0.108709835712205,0.599782073087728,"Fam98a","non-significant"
"ENSMUSG00000002020",-1.00576078767397,0.734587441606739,"Ltbp2","non-significant"
"ENSMUSG00000002028",0.271266758300974,0.375598694045455,"Kmt2a","non-significant"
"ENSMUSG00000002031",-0.143733381936797,0.747427865912402,"Ift46","non-significant"
"ENSMUSG00000002032",-0.0599539918128853,0.964320081902298,"Tmem25","non-significant"
"ENSMUSG00000002043",-0.447568895435971,0.512361078149964,"Trappc6a","non-significant"
"ENSMUSG00000002052",0.000654284620486643,0.998561126239256,"Supt6","non-significant"
"ENSMUSG00000002055",-0.35169853842765,0.440133490945511,"Spag5","non-significant"
