"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000001918",0.105818188268677,1,"Slc1a5","non-significant"
"ENSMUSG00000001924",-0.0944361660215524,1,"Uba1","non-significant"
"ENSMUSG00000001930",-0.1098496744135,1,"Vwf","non-significant"
"ENSMUSG00000001942",0.00300346066167233,1,"Siae","non-significant"
"ENSMUSG00000001943",0.361940931196173,1,"Vsig2","non-significant"
"ENSMUSG00000001946",0.182859777500796,1,"Esam","non-significant"
"ENSMUSG00000001948",0.176826395232577,1,"Spa17","non-significant"
"ENSMUSG00000001962",0.0921340713098977,1,"Fam50a","non-significant"
"ENSMUSG00000001964",0.104920824959926,1,"Emd","non-significant"
"ENSMUSG00000001983",0.0181800297967815,1,"Taco1","non-significant"
"ENSMUSG00000001985",0.857688774419393,1,"Grik3","non-significant"
"ENSMUSG00000001986",0.330623947016672,1,"Gria3","non-significant"
"ENSMUSG00000001988",-2.77443939750668,1,"Npas1","non-significant"
"ENSMUSG00000001995",-0.104948774668256,1,"Sipa1l2","non-significant"
"ENSMUSG00000001998",-0.0282115573377623,1,"Ap4e1","non-significant"
"ENSMUSG00000001999",0.0378252805463732,1,"Blvra","non-significant"
"ENSMUSG00000002006",-0.0917023300349427,1,"Pdzd4","non-significant"
"ENSMUSG00000002007",-0.0262893105438957,1,"Srpk3","non-significant"
"ENSMUSG00000002010",0.0414784828810446,1,"Idh3g","non-significant"
"ENSMUSG00000002012",-0.0303015005350766,1,"Pnck","non-significant"
"ENSMUSG00000002014",0.0172930269707262,1,"Ssr4","non-significant"
"ENSMUSG00000002015",-0.00176193997420055,1,"Bcap31","non-significant"
"ENSMUSG00000002017",-0.0413598852895531,1,"Fam98a","non-significant"
"ENSMUSG00000002020",-0.43159513210936,1,"Ltbp2","non-significant"
"ENSMUSG00000002028",-0.203496084534214,1,"Kmt2a","non-significant"
"ENSMUSG00000002031",0.0780694145450445,1,"Ift46","non-significant"
"ENSMUSG00000002032",0.125858248191466,1,"Tmem25","non-significant"
"ENSMUSG00000002033",0.174330547995433,1,"Cd3g","non-significant"
"ENSMUSG00000002043",0.162193188831215,1,"Trappc6a","non-significant"
"ENSMUSG00000002052",-0.089145829867576,1,"Supt6","non-significant"
"ENSMUSG00000002055",-0.296736893075721,1,"Spag5","non-significant"
"ENSMUSG00000002057",-0.573443710963327,1,"Foxn1","non-significant"
"ENSMUSG00000002058",0.166004368116369,1,"Unc119","non-significant"
"ENSMUSG00000002059",0.111386070041855,1,"Rab34","non-significant"
"ENSMUSG00000002064",-0.0408872469103732,1,"Sdf2","non-significant"
"ENSMUSG00000002068",-0.191723776481939,1,"Ccne1","non-significant"
"ENSMUSG00000002076",-0.462402712162448,1,"Hsf2bp","non-significant"
"ENSMUSG00000002083",-0.282333674187881,1,"Bbc3","non-significant"
"ENSMUSG00000002100",0.884596395949994,1,"Mybpc3","non-significant"
"ENSMUSG00000002102",0.0159222891311909,1,"Psmc3","non-significant"
"ENSMUSG00000002103",-0.0908570281033854,1,"Acp2","non-significant"
"ENSMUSG00000002104",0.107747414496592,1,"Rapsn","non-significant"
"ENSMUSG00000002105",-0.119623938206663,1,"Slc39a13","non-significant"
"ENSMUSG00000002107",-0.0926221488853889,1,"Celf2","non-significant"
"ENSMUSG00000002108",-0.118341244078799,1,"Nr1h3","non-significant"
"ENSMUSG00000002109",0.137979666506246,1,"Ddb2","non-significant"
